pdf_path,tables,Main Goal,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment,Author,Description,Target Gender
./samples/muscle-building/5daymuscleandstrengthbuildingworkoutsplit.pdf,"Monday: Upper Body Strength Workout
Exercise Sets Reps
1. Weighted Wide Grip Pull Ups 2 -3 4 - 6
2. Bent Over Barbell Row 4 - 5 4 - 6
3. Narrow Grip T-Bar Row 2 - 3 4 - 6
4. Standing Overhead Barbell Press 4 - 5 4 - 6
5. Incline Dumbbell Bench Press 4 - 5 4 - 6
6. Weighted Dips 2 - 3 4 - 6
7. EZ Bar Skullcrusher 2 - 3 4 - 6
8. EZ Bar Bicep Curls 2 - 3 4 - 6
*Rest periods: 120 - 180 seconds between sets.
Tuesday: Lower Body Strength Workout
Exercise Sets Reps
1. Squats 4 - 5 4 - 6
2. Hack Squats 2 - 3 4 - 6
3. Deadlifts 4 - 5 4 - 6
4. Lying Leg Curls 2 - 3 4 - 6
5. Standing Calf Raise 4 - 5 4 - 6
6. Seated Calf Raise 2 - 3 4 - 6
*Rest periods: 120 - 180 seconds between sets. 
Thursday: Back/Shoulders Size Workout
Exercise Sets Reps
1a. Wide Grip Pull Down 4 - 5 8  - 12
1b. Narrow Grip Pull Down 4 - 5 8  - 12
2. Chest Supported Machine Row 4 - 5 8  - 12
3. Narrow Grip Low Pulley Cable Row 2 - 3 8  - 12
4a. Straight Arm Rope Pull Down 2 - 3 8  - 12
4b. Lower Back Hyperextensions 2 - 3 8  - 12
5. Dumbbell Shoulder Press 4 - 5 8  - 12
6. Standing Dumbbell Side Lateral Raise 2 - 3 8  - 12
7. Standing EZ Bar Front Raise 2 - 3 8  - 12
8. Dumbbell Rear Delt Lateral Raise 2 - 3 8  - 12
9a. Cable EZ Bar Upright Row 2 - 3 8  - 12
9b. Rope Face Pull 2 - 3 8  - 12
*Rest periods: 60 - 90 seconds between sets. 
Friday: Chest/Arms Size Workout
Exercise Sets Reps
1. Incline Barbell Bench Press 4 - 5 8  - 12
2a. Flat Machine Chest Press 2 - 3 8  - 12
2b. Incline Dumbbell Fly 2 - 3 8  - 12
3. Cable Crossover 2 - 3 8  - 12
4. Narrow Grip Bench Press 2 - 3 8  - 12
5. Seated Overhead EZ Bar Tricep Extension 2 - 3 8  - 12
6. Single Arm Cable Press Down 2 - 3 8  - 12
7. EZ Bar Preacher Curl 2 - 3 8  - 12
8. Standing Alternating Dumbbell Hammer Curl 2 - 3 8  - 12
9. High Pulley Single Arm Bicep Curl 2 - 3 8  - 12
*Rest periods: 60 - 90 seconds between sets.
Saturday: Legs Size Workout
Exercise Sets Reps
1a. Seated Hamstring Curl 4 - 5 8 - 12
1b. Leg Extension 4 - 5 8 - 12
2. Front Squat 4 - 5 8 - 12
3a. Leg Press 4 - 5 8 - 12
3b. Barbell Walking Lunge 4 - 5 8 - 12 Each
4a. Abductor Machine 2 - 3 8 - 12
4b. Adductor Machine 2 - 3 8 - 12
5. Glute Kick Backs 2 - 3 8 - 12 Each
6. Donkey Calf Raise 4 - 5 8 - 12
7a. Seated Calf Raise 4 - 5 8 - 12
7b. Single Leg Calf Press 4 - 5 8 - 12 Each
*Rest periods: 60 - 90 seconds between sets.
Ab Workout: 3x Per Week
Exercise Sets Reps
1a. Hanging Leg Raise 3 - 4 8 - 12
1b. Decline Sit Up 3 - 4 8 - 12
2a. Lying Leg Raise 3 - 4 15 - 20
2b. Cable Crunch 3 - 4 15 - 20
3. Cable Wood Choppers 3 - 4 15 - 20 Per Side
4. Barbell Ab Roll Out 3 - 4 Failure
*Rest periods: 60 - 90 seconds between sets.",Build Muscle,Intermediate,10 Weeks,5 Days,60 - 90 Mins,"Barbell, Bodyweight, 
Cables, Dumbbells, EZ Bar,
Machines",Trevor Kouritzin,"5 DAY MUSCLE & STRENGTH BUILDING
WORKOUT SPLIT
Build muscle and strength with this workout 
program that combines two strength based 
weekly workouts with three hypertrophy size 
building weekly workouts.
Link to Workout : https://www.muscleandstrength.com/
workouts/5-day-muscle-and-strength-building-workout-
split",Male
./samples/muscle-building/dumbbellonly_0.pdf,"Day 1
Exercise Sets Reps
1. Dumbbell Squat 3 10
2. Dumbbell Stiff Legged Deadlift 3 10
3. Bent Over Dumbbell Row 3 10
4. Dumbbell Bench Press 3 10
5. Lateral Raises 2 8
6. Standing Dumbbell Curl 2 8
7. Lying Dumbbell Extension 2 8
Day 2
Exercise Sets Reps
1. Dumbbell Lunge 3 10
2. Dumbbell Hamstring Curl 3 10
3. Dumbbell Deadlift 3 10
4. Dumbbell Military Press 3 10
5. Dumbbell Flys 2 8
6. Hammer Curl 2 8
7. Seated Dumbbell Extension 2 8
Day 3
Exercise Sets Reps
1. Dumbbell Step Up 3 10
2. Dumbbell Stiff Legged Deadlift 3 10
3. One Arm Dumbbell Press 3 10
4. Reverse Grip Dumbbell Press 3 10
5. Dumbbell Rear Delt Fly 2 8
6. Zottman Curl 2 8
7. Close Grip Dumbbell Press 2 8",Build Muscle,Beginner,8 Weeks,3 Days,25-30 Mins,Dumbbells,Josh England,"DUMBBELL ONLY WORKOUT: 
3 DAY FULL BODY DUMBBELL WORKOUT
This workout program only requires dumbbells, 
has just the right amount of volume to promote muscle growth, and is perfect to do at home or on the go.
Link to Workout : https://www.muscleandstrength.com/
workouts/3-day-full-body-dumbbell-workout",
./samples/muscle-building/dumbbellworkout5day_0.pdf,"Day 1: Chest, Shoulders & Triceps Dumbbell Workout
Exercise Sets Reps
1. Dumbbell Bench Press 5 8 - 10
2. Incline Dumbbell Bench Press 4 8 - 10
3. Dumbbell Floor Press 3 8 - 12
4. Standing Dumbbell Press 4 8 - 10
5. Dumbbell Lateral Raise 3 8 - 12
6. Dumbbell Tricep Kickbacks 3 8 - 12
Day 2: Legs & Core Dumbbell Workout
Exercise Sets Reps
1. Dumbbell Goblet Squat 4 8 - 10
2. Dumbbell Stiff Leg Deadlift 4 8 - 10
3. Dumbbell Rear Lunge 4 8 - 10 Each
4. Dumbbell Frog Squat 3 8 - 12
5. Dumbbell Calf Raise 4 20
6. Weighted Crunch 3 20
7. Side Planks 3 20 Secs Each
Day 3: Back & Biceps Dumbbell Workout
Exercise Sets Reps
1. Dumbbell Bent Over Row 4 8 - 12
2. Tripod Dumbbell Row 4 8 - 12 Each 
3. Dumbbell Pullover 3 8 - 12
4. Reverse Grip Dumbbell Row 4 8 - 12
5. Dumbbell Bicep Curl 3 10 - 15
6. Dumbbell Hammer Curl 3 10 - 15
Day 4: Legs & Core Dumbbell Workout
Exercise Sets Reps
1. Dumbbell Squat 4 8 - 10
2. Dumbbell Deadlift 4 8 - 10
3. Dumbbell Split Squat 3 8 - 12 Each
4. Dumbbell Hip Thrust 4 10 - 15
5. Dumbbell Calf Raise 4 20
6. Dumbbell Side Bends 3 15 Each
7. Plank 3 20 Secs
Day 5: Complete Upper Body Dumbbell Workout
Exercise Sets Reps
1. One Arm Dumbbell Rows 4 8 - 10 Each
2. Dumbbell Arnold Press 4 8 - 10
3. Incline Dumbbell Bench Press 4 8 - 12
4. Chest Supported Dumbbell Row 3 8 - 12
5. Dumbbell Pinwheel Curl 2 8 - 12
6. Overhead Dumbbell Tricep Extension 3 8 - 12
7. Dumbbell Shrug 3 12 - 15",Build Muscle,Intermediate,12 Weeks,5 Days,45 - 60 Mins,"Bodyweight,
Dumbbells",Josh England,"DUMBBELL ONLY WORKOUT:
5 DAY DUMBBELL WORKOUT SPLIT
This 5 day dumbbell only workout program 
only requires dumbbells and is perfect for 
those looking to build lean muscle mass at 
home or on the go! 
Link to Workout : https://www.muscleandstrength.com/
workouts/5-day-dumbbell-only-workout-split",Male & Female
./samples/muscle-building/upper_lower4day.pdf,"Day 1
Exercise Sets Reps
Upper Body
Bench Press 3 6 - 12
Barbell Row 3 6 - 12
Seated Overhead Dumbbell Press 3 8 - 12
Pec Dec * 2 10 - 12
V-Bar Lat Pull Down* 2 10 - 12
Side Lateral Raise 2 10 - 15
Cable Tricep Extensions* 3 8 - 12
Cable Curls* 3 8 - 12
*3 sec negative
Day 2
Exercise Sets Reps
Lower Body
Squats 3 6 - 12
Stiff Leg Deadlifts 3 8 - 12
Standing Calf Raise 3 10 - 15
Leg Extensions* 2 10 - 12
Leg Curl* 2 10 - 12
Seated Calf Raise * 2 10 - 12
Cable Crunch * 3 10 - 12
Cable Pull Through w/Rope 3 10 - 12
*3 sec negative
Day 5
Exercise Sets Reps
Lower Body
Leg Press 3 10 - 20
Dumbbell Stiff Leg Deadlifts 3 8 - 12
Leg Press Calf Raise 3 10 - 15
Hack Squat 2 8 - 12
Seated Leg Curl* 2 10 - 12
Seated Calf Raise * 2 10 - 12
Planks 3 60 sec
Hyperextension 3 10 - 12
*3 sec negativeDay 4
Exercise Sets Reps
Upper Body
Incline Dumbbell Bench Press 3 8 - 12
Rack Deadlifts** 3 5 - 8
Military Press 3 8 - 12
Machine Chest Press* 2 8 - 12
Pull Ups or Machine Rows* 2 8 - 12
Machine Shoulder Press* 2 8 - 12
Dumbbell Curls* 3 8 - 12
Machine Tricep Dip * 3 8 - 12
*3 sec negative
**3” - 5” off ground",Build Muscle,Beginner,10 Weeks,4 Days,45-60 Mins,"Barbell, Bodyweight, 
Cables, Dumbbells, EZ Bar, Machines",Steve Shaw,"Reach your muscle building goals with this 
balanced 4 day training split that mixes heavy compound exercises, machines, cables and incorporates 3 second negatives.
Link to Workout : https://www.muscleandstrength.com/
workouts/upper-lower-4-day-gym-bodybuilding-workoutUPPER /LOWER 4 DAY GYM BODYBUILDING
SPLIT WORKOUT",
./samples/shoulder/coconutshoulders.pdf,"Week 1: Heavy
Exercise Sets Reps
Shoulders
Military Press 3 8
Seated Dumbbell Press 3 10
Seated Dumbbell Lateral Raise (Slow) 3 12
Dumbbell Reverse Fly (Slow) 3 12
Traps
Dumbbell Shrug 3 8
Smith Machine Upright Row 3 12
1 Min rest between sets.
Week 2: Traps Shock
Exercise Sets Reps
Traps
Superset*
Upright Row 4 8
Barbell Shrug 4 Max
Shoulders (Slow Rep Timing for All Exercises)
Arnold Press 3 8
Cable Front Raise 3 12
One Arm Cable Lateral Raise 3 12
Dumbbell Reverse Fly 3 12
*Lift heavy & use the same weight for both exercises. Hold the top position for 4 counts & lower slowly: this gives 
you a rep timing of 1 - 4 - 2. 1 Min rest between sets. 
Week 3: Shoulders Shock
Exercise Sets Reps
Shoulders
Superset
Dumbbell Press (Heavy) 4 8
Barbell Front Raise (Slow)* 4 12
Dumbbell Lateral Raise (Drop Set)** 4 Max
Dumbbell Reverse Fly (Drop Set)** 4 Max
Traps
Barbell Shrug 3 12
Cable Upright Row 3 10
*Barbell Front Raise: 2 - 2 - 2 rep timing. **Drop sets: Start w/ a weight with which you can perform 8 - 10 reps & drop down doing maximum reps on each weight you drop to. Aim for a minimum of 3 drops. 1 Min rest between sets.",Build Muscle,Intermediate,3 Weeks,1 Day,30-45 Mins,"Barbell, Cables, 
Dumbbells, Machines",Team Muscle & Strength,"Pack on some serious size using a different 
workout each week. Includes shock techniques like drop sets and supersets. Traps are also trained.
Link to Workout : https://www.muscleandstrength.com/
workouts/32-the-coconut-shoulders-workout-.htmlTHE COCONUT SHOULDERS WORKOUT",
./samples/shoulder/deltoiddestructionhighvolumeintensity.pdf,"High Volume & Intensity
Exercise Sets Reps
Machine Side Lateral Raises 4 10, 12, 15, 20
Barbell Military Press 3 12 - 15
Barbell Upright Row 3 10 - 12
Seated Dumbbell Front Raise 3 15
Seated Rear Dumbbell Lateral Raise 4 20
Machine Shrugs 4 10",Build Muscle,Advanced,6 Weeks,1 Day,45-60 Mins,"Barbell, Dumbbells, 
Machines",Team Allmax,"DELTOID DESTRUCTION: HIGH VOLUME & 
INTENSITY SHOULDER WORKOUT
It’s time to finally bring your lagging deltoids 
up to speed. Check out team Allmax Athlete Brandon Beckrich and his big & heavy shoulder workout!
Link to Workout : https://www.muscleandstrength.com/
workouts/deltoid-destruction-workout",
./samples/shoulder/theperfectworkoutforrocksolidshoulders.pdf,"Shoulder Workout A (Weeks 1, 3, 5, 7)
Exercise Sets Reps
Standing Barbell Press 6 2 - 5
Standing Single Arm Lateral Raise 4 6 - 9
Reverse Lateral Raise on Incline Bench 3 10 - 13
Face Pulls 3 10 - 13
Shoulder Workout B (Weeks 2, 4, 6, 8)
Exercise Sets Reps
Seated Barbell Press 6 2 - 5
Seated Lateral Raise 4 6 - 9
Single Arm Machine Lateral Raise 3 10 - 13
Seated Reverse Machine Fly 3 10 - 13",Build Muscle,Intermediate,8 Weeks,1 Day,45-75 Mins,"Barbell, Cables, 
Dumbbells, Machines",Roger “Rock” Lockridge,"THE PERFECT WORKOUT FOR ROCK SOLID 
SHOULDERS
Build perfectly balanced shoulders with 
deltoids that cap with this workout routine. 
The workout incorporates 2 workouts that you 
alternate weekly.
Link to Workout : https://www.muscleandstrength.com/
workouts/perfect-workout-for-shoulders",Male & Female
./samples/strength/3daypushpulllegs.pdf,"Exercise Sets Reps Rest
Military Press (AKA Overhead Press) 5 5 1-2 Min
Dumbbell Bench Press 3 5 1-2 Min
Tricep Dip 3 8 1-2 Min
Lateral Raise 3 8 1-2 Min
Lying Dumbbell Extension 3 8 1-2 Min
Tricep Pushdown 3 8 1-2 Min
Exercise Sets Reps Rest
Pull Up (or Lat Pull Down) 5 5 1-2 Min
Bent-Over Barbell Row 3 5 1-2 Min
T-Bar Row 3 8 1-2 Min
Dumbbell Shrug 3 8 1-2 Min
Preacher Curl 3 8 1-2 Min
Hammer Curl 3 8 1-2 Min
Exercise Sets Reps Rest
Barbell Squat 5 5 1-2 Min
Deadlift 3 5 1-2 Min
Leg Press 3 8 1-2 Min
Lying Leg Curl 3 8 1-2 Min
Leg Extension 3 8 1-2 Min
Seated Calf Raise 3 8 1-2 Min",Increase Strength,Beginner,"10 Weeks
Click here for the full workout!",3 Days,,"Barbell, Cables, Dumbbells, 
Machines",,"3 DAY PUSH/PULL/LEGS (PPL)
WORKOUT FOR BEGINNERS",Male & Female
./samples/strength/advancedstrengthbuildingworkout.pdf,"Exercise Sets Reps Rest
Military Press 5 3 - 5 3 min
Incline Bench Press 4 3 - 5 3 min
Dumbbell Bench Press 3 5 2 min
Tricep Dip 3 5 2 min
Overhead EZ Bar Tricep Extension 3 5 2 min
Exercise Sets Reps Rest
Front Squat 5 3 - 5 3 min
Pause Back Squat* 4 3 - 5 3 min
Hack Squat or Leg Press 3 5 2 min
Seated Leg Curl 3 5 2 min
Leg Extension 3 5 2 min
Exercise Sets Reps Rest
Trap Bar or Barbell Rack Pull 5 3 - 5 3 min
Pull Ups 4 3 - 5 3 min
One Arm Dumbbell Row 3 5 Each Side 2 min
Concentration Curl 3 5 2 min
Shrug (with hold) 3 5 2 min
Exercise Sets Reps Rest
Speed Front Squat 6 3 30 sec
Speed Pause Squat* 6 3 30 sec
Leg Press 4 4 30 sec
Seated Calf Raise 2 6 30 sec
Lying Leg Raise 2 6 30 sec
Exercise Sets Reps Rest
Speed Barbell Press 6 3 30 sec
Speed Trap Bar or Barbell Rack Pull 6 3 30 sec
Lateral Raise 4 4 30 sec
Barbell Curl 2 6 30 sec
Tricep Extension 2 6 30 sec",Increase Strength,Advanced,"8 Weeks
Click here for the full workout!",5 Days,,"Barbell, Cables, Dumbbells, 
Machines, Other",,"BIG AND STRONG: 8 WEEK ADVANCED 
STRENGTH BUILDING WORKOUT",Male & Female
./samples/strength/boostyourbenchpress.pdf,"Exercise Sets Reps Rest
Barbell Bench Press 5 1 - 4 90 - 120 Sec
Overhead Barbell Press 3 4 - 6 60 Sec
Bent Over Row 3 4 - 6 60 Sec
Pull Up 3 4 - 6 60 Sec
Skull Crushers 3 4 - 6 60 Sec
Cable Triceps Extension 3 4 - 6 60 Sec
Exercise Sets Reps Rest
Squat 3 8 -12 60 - 90 Sec
Leg Press 3 8 -12 60 - 90 Sec
Hip Adduction Machine 3 8 -12 60 - 90 Sec
Romanian Deadlift 3 8 -12 60 - 90 Sec
Leg Curl 3 8 -12 60 - 90 Sec
Standing Calf Raise 3 8 -12 60 - 90 Sec
Ab Crunch 3 15 60 - 90 Sec
Exercise Sets Reps Rest
Barbell Bench Press 8 3 30 Sec
Incline Dumbbell Bench Press 3 8 - 12 60 - 90 Sec
Lateral Raise 3 8 - 12 60 - 90 Sec
Overhead Tricep Extension 3 8 - 12 60 - 90 Sec
Exercise Sets Reps Rest
Wide Grip Lateral Pull Down 5 8 -12 60 - 90 Sec
Seated Row 3 8 -12 60 - 90 Sec
Bent Over Dumbbell Reverse Fly 3 8 -12 60 - 90 Sec
Front Raise 3 8 -12 60 - 90 Sec
Barbell Curl 3 8 -12 60 - 90 Sec
Hammer Curl 3 8 -12 60 - 90 Sec
Lying Leg Raise 3 15 60 - 90 Sec
Exercise Sets Reps Rest
Deadlift 3 8 -12 60 - 90 Sec
Walking Lunge (each leg) 3 8 -12 60 - 90 Sec
Bulgarian Split Squat (each leg) 3 8 -12 60 - 90 Sec
Leg Extension 3 8 -12 60 - 90 Sec
Standing Calf Raise   3 8 -12 60 - 90 Sec
Plank   3 30 - 60 Sec 60 - 90 Sec",Increase Strength,Beginner,"10 Weeks
Click here for the full workout!",4 Day,,"Barbell, Cables, Dumbbells, 
Machines",,"BOOST YOUR BENCH PRESS: THE ULTIMATE
WORKOUT PLAN TO INCREASE STRENGTH & POWER",Male & Female
./samples/strength/superstrength8weekstrengthbuildingworkout.pdf,"Week Sets/Reps Percentages
Week 1 Max Out Week (test your baseline)
Week 2 5 sets of 4 with 80% of your max
Week 3 5 sets of 3 with 85% of your max
Week 4 5 sets of 2 with 90% of your max
Week 5 4 sets of 4 with 80% of your max
Week 6 4 sets of 3 with 85% of your max
Week 7 4 sets of 2 with 90% of your max
Week 8 Max Out Week (retest)
Exercise Sets Reps
Squat See Chart See Chart
Front Squat 3 5
Bulgarian Split Squat 3 8
Leg Extension 3 8
Exercise Sets Reps
Bench Press See Chart See Chart
Incline Bench Press 3 5
Dumbbell Fly 3 8
Tricep Dips 3 8
Exercise Sets Reps
Deadlift See Chart See Chart
Good Mornings 3 5
Lying Leg Curl 3 8
Walking Lunge 3 8
Exercise Sets Reps
Standing Barbell Press See Chart See Chart
Front Raise 3 5
Seated Lateral Raise 3 8
Rope Tricep Extension 3 8
Exercise Sets Reps
Bent-Over Barbell Row See Chart See Chart
Pull Up or Lat Pull Down 3 5
Rear Lateral Raise 3 8
Incline Dumbbell Curl 3 8",Increase Strength,Beginner,"8 Weeks
Click here for the full workout!",5 Days,,"Barbell, Cables, Dumbbells, 
Machines","Roger “Rock” Lockridge
Monday - Squat
Tuesday - Bench Press
Wednesday - Deadlift
Thursday - Standing Barbell Press
Friday - Bent-Over Barbell RowThe chart below will show you what weights to use each week. This applies to all five opening 
lifts – squat, bench press, deadlift, standing barbell press, and bent-over babell row.
Workout
Summary","SUPER STRENGTH: 8 WEEK STRENGTH 
BUILDING WORKOUT FOR BEGINNERS",Male & Female
